content_id,author_id,title
278,114,Permohonan informasi
279,114,Minta syarat Dtks
280,114,Kerumunan Ramai Saat Akan Berbuka Puasa
281,400,Kepada pihak yang berwewenangSaya mau laporkan bahwa di kantor kelurahan BALLAPARANG kota MakassarTidak menerima layanan publik di hari kerja dengan alasan masih pandemiSy bertujuan mengurus BLT akibat phk dari kantorSudah ada surat dari rt dan rw namun di tolak dengan alasan bukan dikelurahan tempatnyaMohon di tindak pak
282,400,Pelanggaran Social Distancing
283,278,Minta Dibuatkan Kartu Sehat Untuk Keluarga Saya Yang Akan Melahirkan
284,400,Penyediaan Jaringan Internet Di Ruang Publik
285,400,Bantuan Sosial
286,858,"Pupus, Ngebel"
287,400,Imunisasi
288,400,Tolong Ditinjau Kembali Data Bantuan Dana Sosial
289,400,Fasilitas Pendidikan Yang Belum Di Nikmati Oleh Masyarakat Pegunungan Seram Utara
290,400,Kartu Keluarga Sejahtera
291,400,"Jalur Penyebrangan Galala - Namlea Kota Ambon, Asdp"
292,400,Pembagian Bansos Tidak Tepat Sasaran
293,400,Pengaduan Pengurusan Sertipikat Yg Hilang
294,400,Laporan Nengenai Kasus Kekerasan Terhadap Perempuan
295,400,Layanan Penyeberangan Expres Bakauheni
296,400,Informasi Uji Klinis Vaksin Covid-19
297,400,Permohonan Tracing Penyebaran Covid-19 Di Ponpes
298,303,corona
299,400,Hajatan Saat Covid
300,400,bantuan sosial
301,209,"Sampah Di Bawah Jembatan Danyang, Desa Sukosari, Ponorogo"
302,27,Air Pdam Mati
303,27,Tidak Pernah Mendapat Bansos
304,27,Tidak Pernah Dapat Bansos/pkh Apapun Itu
305,102,Apoteker & Asisten Apoteker Yang Berhak Mendapatkan Insentif Covid-19
306,3,Informasi di Masa Adaptasi Kebiasaan Baru
307,3,Penjualan Miras Secara Online
308,3,Dana Blt Dd Bulan Oktober Dan November Belum Disalurkan
309,1,"Seperti Blibli, Tokopedia Membuka Akses Penjualan Miras Online"
310,2,Pasar Bunga Madiun
311,2,Titik Tempat Pembuangan Sampah
312,2,Lampu Jalan Mati Di Simpang Tiga Padang Ribu-Ribu
313,568,"Tindak Pelanggaran Masif, Terstruktur, Sistematis Oleh Kandidat No Urut 3 Pilkada Bandar Lampung, Kpu Dan Bawaslu Jgn Gentar Tunjukkan Marwahmu...!!!!"
314,568,Warga Lama Yang Sudah Mampu Masih Menerima Bantuan Secara Tunai Atau Non Tunai
315,2,Laporan adanya Dugaan Pengeboman Ikan (Destructive Fishing)
316,327,Maraknya Penyelundupan Sepatu Bekas Ke Sumatra Sangat Merugikan Penjual Sepatu Baru
317,2,Keluhan Warga Terkait Lambannya Respon Dan Tidak Tegasnya Pemerintah Daerah Serta Berlarut - Larutnya Proses Penyelesaian Permintaan Pembongkaran Pagar Panel Beton Yang Menutup Akses Jalan Umum Masyarakat Dan Meminta Tidak Ada Lagi Penambahan Pemakaman Baru
318,469,Keindahan Lingkungan
319,27,Status Terdaftar Di Kemendikbud
320,462,"adanya pembuangan limbah di Dumoga, Sulawesi Utara"
321,346,Keributan Di Jalan Umum
322,114,"Laporan Masyarakat adanya jual beli Telur Penyu di Pasar bungi Kecamatan Lembang, Kabupaten Pinrang, Sulawesi Selatan"
323,114,Harga Tarif Bis Bima Suci Jurusan Merak - Bekasi Tidak Wajar
324,114,Suara Bising
325,114,Tugas Kepala Desa Melebihi Wewenang Dan Kesewenang Wenangan
326,114,dugaan adanya kegiatan destructive fishing di Bolaang Mongondow utara
327,114,Layanan Ptsp Kementerian Lingkungan Hidup Dan Kehutanan
328,3,Penunggakan Subsidi Ovo Alumni Pelatihan Kipan Jawa Tengah 2021 Kemenpora Jawa Tengah
329,14,Bpnt
330,130,Kecurangan Dalam Penerimaan Bansos
331,102,Penolakan Permohonan Manual Kartu Garansi
332,25,Data Sertifikasi
333,25,Lapor Kecurangan Bansos
334,25,"laporan pengaduan secara langsung oleh masyarakat tentang penambangan pasir di Jiko Belanga, Bolaang Mongondow Timur"
335,25,laporan masyarakat tentang adanya penyu hijau yang terjaring di salah satu pukat milik nelayan Desa Tinakin Laut
336,49,Pendaftaran Npb Asam Sulfat
337,605,Toilet Bayar
338,322,jalan rusak
339,322,Bedah Rumah
340,322,Banjir Berkepanjangan
341,322,Bantuan Bedah Rumah
342,322,Program Bedah Rumah
343,322,Warga Yang Mampu Ekonominya (Kaya) Ternyata Menerima Bantuan Sosial Pbi
344,114,Acara Tayangan Tv Nasional Menampilkan Pengunanan Alat Setrum Ikan
345,114,Pengambilan Bst Dan Blt Migor Bukan Penerimanya(Nama Yang Bersangkutan)Atau Ahli Warisnya
346,114,Pengaduan Pln
347,114,Warung Mie Berisik
